# lowEnergyEdge exposure
1.000000000000000000e+02 5.577597642695419199e+04
1.584893192461114211e+02 6.680521451671787072e+05
2.511886431509579722e+02 3.453129483990842942e+06
3.981071705534973262e+02 1.167604624065887928e+07
6.309573444801930009e+02 3.286433877663416043e+07
1.000000000000000000e+03 8.664845929472544789e+07
1.584893192461114040e+03 2.084200530696922839e+08
2.511886431509582053e+03 4.589474971853190064e+08
3.981071705534973262e+03 9.730701226117287874e+08
6.309573444801930236e+03 1.923639960467063665e+09
1.000000000000000000e+04 3.635628516420603752e+09
1.584893192461114086e+04 6.387446623547285080e+09
2.511886431509582326e+04 1.100708180060066986e+10
3.981071705534969078e+04 1.746579857586377716e+10
6.309573444801942969e+04 2.668122227092557144e+10
1.000000000000000000e+05 4.073304781332525635e+10
1.584893192461114086e+05 5.902873421985358429e+10
2.511886431509582035e+05 8.391148126935911560e+10
3.981071705534969224e+05 1.141491653548434143e+11
6.309573444801942678e+05 1.602627086222388611e+11
1.000000000000000000e+06 2.164899462525990906e+11
1.584893192461114144e+06 2.853119999358081665e+11
2.511886431509582326e+06 3.692959909136945190e+11
3.981071705534977373e+06 4.768040678678608398e+11
6.309573444801942445e+06 6.168335140677436523e+11
1.000000000000000000e+07 6.915392788311618652e+11
1.584893192461114191e+07 8.612863928313316650e+11
2.511886431509582326e+07 1.303632239925146729e+12
3.981071705534977466e+07 1.421602090792578125e+12
6.309573444801943004e+07 1.672238819940273926e+12
1.000000000000000000e+08 1.672238819940273926e+12
