# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 5.707278122095101280e+05
2.511886431509582326e+04 0.000000000000000000e+00
3.981071705534969078e+04 1.526621070244611800e+07
6.309573444801942969e+04 5.264051640731219202e+07
1.000000000000000000e+05 4.119915246205713749e+08
1.584893192461114086e+05 2.204320405208920479e+09
2.511886431509582035e+05 7.073468001870905876e+09
3.981071705534969224e+05 1.520680753037696838e+10
6.309573444801942678e+05 2.779209785946151733e+10
1.000000000000000000e+06 4.161249446892700195e+10
1.584893192461114144e+06 5.656666392851895142e+10
2.511886431509582326e+06 7.839642364713203430e+10
3.981071705534977373e+06 9.847554264243914795e+10
6.309573444801942445e+06 1.227732296713954773e+11
1.000000000000000000e+07 1.890568875280163879e+11
1.584893192461114191e+07 1.187607442661493835e+11
2.511886431509582326e+07 1.834947323257644653e+11
3.981071705534977466e+07 1.305359101177220306e+11
6.309573444801943004e+07 1.166892699130243378e+11
1.000000000000000000e+08 1.166892699130243378e+11
