# lowEnergyEdge exposure
1.000000000000000000e+02 2.103932671976507700e+05
1.584893192461114211e+02 1.493786351202815538e+06
2.511886431509579722e+02 6.166886126776401885e+06
3.981071705534973262e+02 1.846600661925848573e+07
6.309573444801930009e+02 4.854916047319491208e+07
1.000000000000000000e+03 1.177487069842075109e+08
1.584893192461114040e+03 2.653803189394251108e+08
2.511886431509582053e+03 5.474358258556185961e+08
3.981071705534973262e+03 1.072365554176222086e+09
6.309573444801930236e+03 2.002082424675419807e+09
1.000000000000000000e+04 3.457520480339255333e+09
1.584893192461114086e+04 5.742018452334045410e+09
2.511886431509582326e+04 8.975657307639560699e+09
3.981071705534969078e+04 1.274141766145466423e+10
6.309573444801942969e+04 1.751375678421839905e+10
1.000000000000000000e+05 2.305327477706243515e+10
1.584893192461114086e+05 2.861666546198188019e+10
2.511886431509582035e+05 3.306229689167366028e+10
3.981071705534969224e+05 3.665766995123806763e+10
6.309573444801942678e+05 3.706040997069919586e+10
1.000000000000000000e+06 3.481316181396286774e+10
1.584893192461114144e+06 3.002694823432068634e+10
2.511886431509582326e+06 2.457180649751806641e+10
3.981071705534977373e+06 1.856611201762734604e+10
6.309573444801942445e+06 1.175527678781152725e+10
1.000000000000000000e+07 7.306822480954915047e+09
1.584893192461114191e+07 5.034835685048945427e+09
2.511886431509582326e+07 1.681767350442033291e+09
3.981071705534977466e+07 1.306138475494242907e+09
6.309573444801943004e+07 5.998171103495026827e+08
1.000000000000000000e+08 5.998171103495026827e+08
