# lowEnergyEdge exposure
1.000000000000000000e+02 2.424970574307712741e+04
1.584893192461114211e+02 3.693663136335090967e+05
2.511886431509579722e+02 2.189287977134436835e+06
3.981071705534973262e+02 7.843304192930020392e+06
6.309573444801930009e+02 2.313279363607620820e+07
1.000000000000000000e+03 6.172313840474580228e+07
1.584893192461114040e+03 1.503920652224089503e+08
2.511886431509582053e+03 3.442004261570419669e+08
3.981071705534973262e+03 7.345677869526598454e+08
6.309573444801930236e+03 1.523278906877496004e+09
1.000000000000000000e+04 2.759633382024524689e+09
1.584893192461114086e+04 5.250887853119787216e+09
2.511886431509582326e+04 9.048206147681016922e+09
3.981071705534969078e+04 1.484833148079873848e+10
6.309573444801942969e+04 2.263007017549182510e+10
1.000000000000000000e+05 3.485870249190619659e+10
1.584893192461114086e+05 5.104236340845354462e+10
2.511886431509582035e+05 7.256847606627671814e+10
3.981071705534969224e+05 1.004121003207748260e+11
6.309573444801942678e+05 1.392157596357008057e+11
1.000000000000000000e+06 1.916233247479407043e+11
1.584893192461114144e+06 2.578706781343550415e+11
2.511886431509582326e+06 3.445334465774899902e+11
3.981071705534977373e+06 4.438086946958959961e+11
6.309573444801942445e+06 5.833620206423698730e+11
1.000000000000000000e+07 7.736967615920922852e+11
1.584893192461114191e+07 1.079504912528617432e+12
2.511886431509582326e+07 1.224278138676043701e+12
3.981071705534977466e+07 1.440838220739751465e+12
6.309573444801943004e+07 1.898285406253008057e+12
1.000000000000000000e+08 1.898285406253008057e+12
