# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 0.000000000000000000e+00
2.511886431509582326e+04 7.516908443561613094e+05
3.981071705534969078e+04 7.117973533173941076e+06
6.309573444801942969e+04 4.736779375033946335e+07
1.000000000000000000e+05 1.764502733037606180e+08
1.584893192461114086e+05 1.379847171781080484e+09
2.511886431509582035e+05 4.119450261891649246e+09
3.981071705534969224e+05 1.039898281899067688e+10
6.309573444801942678e+05 2.072297444357235718e+10
1.000000000000000000e+06 3.318536419574475098e+10
1.584893192461114144e+06 5.180089872671685791e+10
2.511886431509582326e+06 8.023853365413789368e+10
3.981071705534977373e+06 1.194300980218356628e+11
6.309573444801942445e+06 1.617676850850151978e+11
1.000000000000000000e+07 1.929658635678230286e+11
1.584893192461114191e+07 2.403548348188125610e+11
2.511886431509582326e+07 3.975833558220488892e+11
3.981071705534977466e+07 4.876953350958901367e+11
6.309573444801943004e+07 6.303735505611193848e+11
1.000000000000000000e+08 6.303735505611193848e+11
