# The signal is for a single source in the sky responsible for the entire diffuse spectrum:
# E^2dN/dE = 10^-8 (E/100 TeV)^-0.1 [GeV/cm^2.s.sr]
# LoCosZen HiCosZen Counts
-0.1 -0.05 105.896
-0.05 0.00 185.11   # No cutoff 2298.3
0.00 0.05 177.775
0.05 0.10 155.445
0.10 0.15 133.492
0.15 0.20 113.77
0.20 0.25 99.8513
0.25 0.30 87.4213
0.30 0.35 76.7264
0.35 0.40 63.8566
0.40 0.45 57.6465
0.45 0.50 48.2527
0.50 0.55 44.1256
0.55 0.60 34.2095
0.60 0.65 30.4975
0.65 0.70 25.8617
0.70 0.75 22.4174
0.75 0.80 19.0691
0.80 0.85 15.683
0.85 0.90 9.20381
0.90 0.95 5.12658
0.95 1.00 3.40891
