# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 9.986087002354828874e+05
2.511886431509582326e+04 0.000000000000000000e+00
3.981071705534969078e+04 6.499344502243459225e+06
6.309573444801942969e+04 2.855642987387520820e+07
1.000000000000000000e+05 3.226309459157314897e+08
1.584893192461114086e+05 1.949476477864803076e+09
2.511886431509582035e+05 8.217548764743379593e+09
3.981071705534969224e+05 1.831494383163253784e+10
6.309573444801942678e+05 3.595180599060597229e+10
1.000000000000000000e+06 5.957828683521376038e+10
1.584893192461114144e+06 8.899095489191372681e+10
2.511886431509582326e+06 1.333550261772226410e+11
3.981071705534977373e+06 1.867090282609866333e+11
6.309573444801942445e+06 2.587067731588725891e+11
1.000000000000000000e+07 3.244651264456313477e+11
1.584893192461114191e+07 4.294514892268365479e+11
2.511886431509582326e+07 5.636831306758919678e+11
3.981071705534977466e+07 7.079320448981086426e+11
6.309573444801943004e+07 8.546302549946357422e+11
1.000000000000000000e+08 8.546302549946357422e+11
