# lowEnergyEdge exposure
1.000000000000000000e+02 1.932434458986367099e+05
1.584893192461114211e+02 1.475885329133426771e+06
2.511886431509579722e+02 6.062048880447006784e+06
3.981071705534973262e+02 1.846333901950956509e+07
6.309573444801930009e+02 4.903072001559923589e+07
1.000000000000000000e+03 1.201573319909306914e+08
1.584893192461114040e+03 2.678206546583240628e+08
2.511886431509582053e+03 5.627405094167785645e+08
3.981071705534973262e+03 1.110531160851408243e+09
6.309573444801930236e+03 2.109434485379240990e+09
1.000000000000000000e+04 3.696970913590202332e+09
1.584893192461114086e+04 6.211514180063886642e+09
2.511886431509582326e+04 9.874048602566976547e+09
3.981071705534969078e+04 1.465614306558114624e+10
6.309573444801942969e+04 2.089586571118092728e+10
1.000000000000000000e+05 2.819499784400141144e+10
1.584893192461114086e+05 3.462154523228979492e+10
2.511886431509582035e+05 4.419651844239533234e+10
3.981071705534969224e+05 5.045722028827088165e+10
6.309573444801942678e+05 5.579998562286238861e+10
1.000000000000000000e+06 5.891663212646067810e+10
1.584893192461114144e+06 6.158709889154515076e+10
2.511886431509582326e+06 5.315918385583954620e+10
3.981071705534977373e+06 4.681276551850885010e+10
6.309573444801942445e+06 3.689054447580373383e+10
1.000000000000000000e+07 2.877337841284671783e+10
1.584893192461114191e+07 1.808803249472979736e+10
2.511886431509582326e+07 7.111341708928459167e+09
3.981071705534977466e+07 1.624302046858301163e+10
6.309573444801943004e+07 4.861188525868057251e+09
1.000000000000000000e+08 4.861188525868057251e+09
