# lowEnergyEdge exposure
1.000000000000000000e+02 0.000000000000000000e+00
1.584893192461114211e+02 0.000000000000000000e+00
2.511886431509579722e+02 0.000000000000000000e+00
3.981071705534973262e+02 0.000000000000000000e+00
6.309573444801930009e+02 0.000000000000000000e+00
1.000000000000000000e+03 0.000000000000000000e+00
1.584893192461114040e+03 0.000000000000000000e+00
2.511886431509582053e+03 0.000000000000000000e+00
3.981071705534973262e+03 0.000000000000000000e+00
6.309573444801930236e+03 0.000000000000000000e+00
1.000000000000000000e+04 0.000000000000000000e+00
1.584893192461114086e+04 1.367719933319782373e+06
2.511886431509582326e+04 1.639434351580781862e+06
3.981071705534969078e+04 9.401197828145680949e+06
6.309573444801942969e+04 4.454745507000670582e+07
1.000000000000000000e+05 1.941692828890955448e+08
1.584893192461114086e+05 5.830164031241416931e+08
2.511886431509582035e+05 1.206750945213511705e+09
3.981071705534969224e+05 1.753277491650994778e+09
6.309573444801942678e+05 2.150547738869416237e+09
1.000000000000000000e+06 1.919170268823392391e+09
1.584893192461114144e+06 1.372797133744606495e+09
2.511886431509582326e+06 1.000081550048926711e+09
3.981071705534977373e+06 5.804964805606193542e+08
6.309573444801942445e+06 4.121598460334668159e+08
1.000000000000000000e+07 1.574901997384331226e+08
1.584893192461114191e+07 1.275468231799468771e+07
2.511886431509582326e+07 7.366091369748093188e+06
3.981071705534977466e+07 2.631036512718592770e+06
6.309573444801943004e+07 1.842331822813404351e+07
1.000000000000000000e+08 1.842331822813404351e+07
